Register Name,Address,Hex Address,Chip,Family,Model Support,Width,Bits,Function,Access Type,Notes
DMACONR,DFF002,$DFF002,PAULA,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,DMA Control (and blitter status) read,R,Read DMA control / blitter status
DMACON,DFF096,$DFF096,PAULA,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,DMA Control write (clear or set),W,Write DMA control (clear or set)
VPOSR,DFF004,$DFF004,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Read vertical MSB + frame flop,R,Read vertical MSB + frame flop
VHPOSR,DFF006,$DFF006,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Read vertical/horizontal beam position,R,Read vertical/horizontal beam position
VPOSW,DFF02A,$DFF02A,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Write vertical MSB + frame flop,W,Write vertical MSB + frame flop
VHPOSW,DFF02C,$DFF02C,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Write vertical/horizontal position,W,Write vertical/horizontal position
DIWSTRT,DFF08E,$DFF08E,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Display window start,W,Display window start (upper left vertical/horizontal position)
DIWSTOP,DFF090,$DFF090,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Display window stop,W,Display window stop (lower right vertical/horizontal position)
DDFSTRT,DFF092,$DFF092,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Display data fetch start (horizontal),W,Display data fetch start (horizontal position)
DDFSTOP,DFF094,$DFF094,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Display data fetch stop (horizontal),W,Display data fetch stop (horizontal position)
COPCON,DFF02E,$DFF02E,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Copper control (CDANG),W,Copper control (CDANG)
COP1LCH,DFF080,$DFF080,AGNUS,OCS/ECS,A500/A600/A1200/A2000/A3000/A4000,16,15-0,Copper list 1 pointer high,W,Copper list 1 pointer high
